# Generated from logfile: /media/c2i/LaCie/Crawler Files/crawler_logs_2021(gss_bin)/10202021_(South & South Extension)/20211020_155001.380_telemetry.gssbin
# This filename: /media/c2i/LaCie/Crawler Files/crawler_logs_2021(gss_bin)/10202021_(South & South Extension)/20211020_155001.380_telemetry.gssbin_GPS_STAT_2.csv
# Filtered over channel: GPS_STAT_2
# Created on: 2021-11-02T13:24:47Z
UNIX_timestamp,LCM_event_timestamp,count_publish,count_publish_errors,fix_time,fix_valid,gga_altitude_m,gga_fix_quality,gga_height_geoid_m,gga_horizontal_dop,gga_num_satellites_tracked,gga_valid,gll_fix_quality,gll_valid,gsa_3D_fix,gsa_horizontal_dop,gsa_num_satellite_prns,gsa_positional_dop,gsa_valid,gsa_vertical_dop,gsv_derived_edop,gsv_derived_hdop,gsv_derived_ndop,gsv_derived_pdop,gsv_derived_vdop,gsv_gps_downing_error,gsv_gps_easting_error,gsv_gps_northing_error,gsv_measured_ure,gsv_num_satellites_in_view,gsv_num_tracked,gsv_valid,latitude,longitude,rmc_course_over_ground_deg,rmc_magnetic_declination,rmc_speed_over_ground_knots,rmc_valid,unix_time
1634745002.308051824570,1634745002110935.000000000000,8845.000000000000,0.000000000000,1634745002.000000000000,1,4.002000000000,4.000000000000,-35.601000000000,0.700000000000,14.000000000000,1,0.000000000000,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0,36.181827613833,-75.750276603667,87.813000000000,999.900000000000,0.034000000000,1,1634745002.308051824570
1634745002.308452844620,1634745002120532.000000000000,8846.000000000000,0.000000000000,1634745002.000000000000,1,4.002000000000,4.000000000000,-35.601000000000,0.700000000000,14.000000000000,1,0.000000000000,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0,36.181827613833,-75.750276603667,300.990000000000,999.900000000000,0.023000000000,1,1634745002.308452844620
1634745003.309420824051,1634745003118643.000000000000,8847.000000000000,0.000000000000,1634745003.000000000000,1,4.008000000000,4.000000000000,-35.601000000000,0.700000000000,14.000000000000,1,0.000000000000,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0,36.181827568167,-75.750276578167,300.990000000000,999.900000000000,0.023000000000,1,1634745003.309420824051
1634745003.309810876846,1634745003119798.000000000000,8848.000000000000,0.000000000000,1634745003.000000000000,1,4.008000000000,4.000000000000,-35.601000000000,0.700000000000,14.000000000000,1,0.000000000000,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0,36.181827568167,-75.750276578167,241.536000000000,999.900000000000,0.016000000000,1,1634745003.309810876846
1634745004.307476997375,1634745004141993.000000000000,8849.000000000000,0.000000000000,1634745004.000000000000,1,4.012000000000,4.000000000000,-35.601000000000,0.700000000000,14.000000000000,1,0.000000000000,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0,36.181827602667,-75.750276559167,241.536000000000,999.900000000000,0.016000000000,1,1634745004.307476997375
1634745004.307855844498,1634745004143135.000000000000,8850.000000000000,0.000000000000,1634745004.000000000000,1,4.012000000000,4.000000000000,-35.601000000000,0.700000000000,14.000000000000,1,0.000000000000,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0,36.181827602667,-75.750276559167,91.888000000000,999.900000000000,0.016000000000,1,1634745004.307855844498
1634745005.307346820831,1634745005109132.000000000000,8851.000000000000,0.000000000000,1634745005.000000000000,1,4.002000000000,4.000000000000,-35.601000000000,0.700000000000,14.000000000000,1,0.000000000000,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0,36.181827596500,-75.750276593000,91.888000000000,999.900000000000,0.016000000000,1,1634745005.307346820831
1634745005.307706832886,1634745005110299.000000000000,8852.000000000000,0.000000000000,1634745005.000000000000,1,4.002000000000,4.000000000000,-35.601000000000,0.700000000000,14.000000000000,1,0.000000000000,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0,36.181827596500,-75.750276593000,82.360000000000,999.900000000000,0.020000000000,1,1634745005.307706832886
1634745006.308183908463,1634745006118548.000000000000,8853.000000000000,0.000000000000,1634745006.000000000000,1,4.011000000000,4.000000000000,-35.601000000000,0.700000000000,14.000000000000,1,0.000000000000,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0,36.181827590500,-75.750276586333,82.360000000000,999.900000000000,0.020000000000,1,1634745006.308183908463
1634745006.308573007584,1634745006120127.000000000000,8854.000000000000,0.000000000000,1634745006.000000000000,1,4.011000000000,4.000000000000,-35.601000000000,0.700000000000,14.000000000000,1,0.000000000000,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0,36.181827590500,-75.750276586333,332.085000000000,999.900000000000,0.012000000000,1,1634745006.308573007584
